# Generated geographic names; source, snapshot and licenses: geography/manifest.json.
ding qing	丁青	80
ding qing xian	丁青县	80
qi tai he	七台河	250
qi tai he shi	七台河市	250
qi tai he shi xin xing qu	七台河市新兴区	80
qi du	七堵	80
qi du qu	七堵区	80
qi xing	七星	80
qi xing guan	七星关	80
qi xing guan qu	七星关区	80
qi xing qu	七星区	80
qi gu	七股	80
qi gu qu	七股区	80
qi li he	七里河	80
qi li he qu	七里河区	80
wan quan	万全	80
wan quan qu	万全区	80
wan hua	万华	80
wan hua qu	万华区	80
wan ning	万宁	80
wan ning shi	万宁市	80
wan an	万安	80
wan an xian	万安县	80
wan shan	万山	80
wan shan qu	万山区	80
wan zhou	万州	80
wan zhou qu	万州区	80
wan nian	万年	80
wan nian xian	万年县	80
wan bai	万柏	80
wan bo lin qu	万柏林区	80
wan yuan	万源	80
wan yuan shi	万源市	80
wan xiu	万秀	80
wan xiu qu	万秀区	80
wan rong	万荣	80
wan rong xian	万荣县	80
wan zai	万载	80
wan zai xian	万载县	80
wan li	万里	80
wan li qu	万里区	80
san ya	三亚	250
san ya shi	三亚市	250
san yuan	三元	80
san yuan qu	三元区	80
san yuan	三原	80
san yuan xian	三原县	80
san tai	三台	80
san tai xian	三台县	80
san xia	三峡	80
san xia qu	三峡区	80
san ming	三明	250
san ming shi	三明市	250
san min	三民	80
san min qu	三民区	80
san shui	三水	80
san shui qu	三水区	80
san jiang	三江	80
san jiang dong zu zi zhi xian	三江侗族自治县	80
san sha	三沙	250
san sha shi	三沙市	250
san sha shi nan sha qu	三沙市南沙区	80
san he	三河	80
san he shi	三河市	80
san sui	三穗	80
san sui xian	三穗县	80
san zhi	三芝	80
san zhi qu	三芝区	80
san dou	三都	80
san dou shui zu zi zhi xian	三都水族自治县	80
san chong	三重	80
san chong qu	三重区	80
san men	三门	80
san men xian	三门县	80
san men xia	三门峡	250
san men xia shi	三门峡市	250
shang dang	上党	80
shang dang qu	上党区	80
shang cheng	上城	80
shang cheng qu	上城区	80
shang si	上思	80
shang si xian	上思县	80
shang hang	上杭	80
shang hang xian	上杭县	80
shang lin	上林	80
shang lin xian	上林县	80
shang li	上栗	80
shang li xian	上栗县	80
shang hai	上海	500
shang hai shi	上海市	500
shang hai shi bao shan qu	上海市宝山区	80
shang hai shi pu tuo qu	上海市普陀区	80
shang hai shi jin shan qu	上海市金山区	80
shang you	上犹	80
shang you xian	上犹县	80
shang cai	上蔡	80
shang cai xian	上蔡县	80
shang yu	上虞	80
shang yu qu	上虞区	80
shang jie	上街	80
shang jie qu	上街区	80
shang rao	上饶	250
shang rao shi	上饶市	250
shang gao	上高	80
shang gao xian	上高县	80
xia hua yuan	下花园	80
xia hua yuan qu	下花园区	80
xia ying	下营	80
xia ying qu	下营区	80
xia lu	下陆	80
xia lu qu	下陆区	80
qie mo	且末	80
qie mo xian	且末县	80
qiu bei	丘北	80
qiu bei xian	丘北县	80
cong tai	丛台	80
cong tai qu	丛台区	80
dong feng	东丰	80
dong feng xian	东丰县	80
dong li	东丽	80
dong li qu	东丽区	80
dong wu zhu mu qin	东乌珠穆沁	80
dong wu zhu mu qin qi	东乌珠穆沁旗	80
dong xiang	东乡	80
dong xiang qu	东乡区	80
dong xiang zu zi zhi xian	东乡族自治县	80
dong guang	东光	80
dong guang xian	东光县	80
dong lan	东兰	80
dong lan xian	东兰县	80
dong xing	东兴	80
dong xing qu	东兴区	80
dong xing shi	东兴市	80
dong shi	东势	80
dong shi qu	东势区	80
dong qu	东区	80
dong tai	东台	80
dong tai shi	东台市	80
dong po	东坡	80
dong po qu	东坡区	80
dong cheng	东城	80
dong cheng qu	东城区	80
dong ning	东宁	80
dong ning shi	东宁市	80
dong an	东安	80
dong an qu	东安区	80
