# Copyright © 2026 立方田 <managecode@gmail.com>
# Project-maintained common phrases; weights are editorial priorities, not measured frequencies.
ji jian	极简	6000
ji jian zhu yi	极简主义	1200
ji jian feng ge	极简风格	1200
ji jian she ji	极简设计	1200
ji jian mo shi	极简模式	800
ji jian sheng huo	极简生活	800
jian yue she ji	简约设计	1000
jian yue feng ge	简约风格	1000
jian jie ming liao	简洁明了	1500
qing shuang jie mian	清爽界面	600
jie mian she ji	界面设计	1500
jiao hu she ji	交互设计	1500
shi jue she ji	视觉设计	1200
qing liang hua	轻量化	1500
bian ping hua	扁平化	1200
ben di you xian	本地优先	600
li xian you xian	离线优先	600
yin si bao hu	隐私保护	1500
kai xiang ji yong	开箱即用	1200
ji jian jie mian	极简界面	600
dian nao duan	电脑端	1500
she bei duan	设备端	1200
zhuo mian duan	桌面端	1500
shou ji duan	手机端	1500
yi dong duan	移动端	1500
wang ye duan	网页端	1200
liu lan qi duan	浏览器端	1000
ping ban duan	平板端	800
dian shi duan	电视端	600
ying yong duan	应用端	800
yong hu duan	用户端	800
guan li duan	管理端	800
fu wu qi duan	服务器端	1200
ben di duan	本地端	600
yuan cheng duan	远程端	600
duo duan tong bu	多端同步	1200
kua duan tong bu	跨端同步	800
she bei tong bu	设备同步	1000
duo she bei	多设备	1000
zhong duan she bei	终端设备	1200
yi dong she bei	移动设备	1200
zhuo mian ying yong	桌面应用	1200
yi dong ying yong	移动应用	1200
wang ye ying yong	网页应用	1000
jing pin	竞品	1500
jing pin fen xi	竞品分析	1200
jing pin dui bi	竞品对比	1200
chan pin ding wei	产品定位	1200
yong hu hua xiang	用户画像	1200
he xin mai dian	核心卖点	1000
mu biao yong hu	目标用户	1200
chan pin die dai	产品迭代	1000
chan pin fen xi	产品分析	1000
dui biao chan pin	对标产品	800
hang ye fen xi	行业分析	1000
chan pin ti yan	产品体验	1200
gong neng dui bi	功能对比	1000
duo ji	舵机	1500
shu zi duo ji	数字舵机	1000
mo ni duo ji	模拟舵机	800
jin shu duo ji	金属舵机	800
wei xing duo ji	微型舵机	1000
zong xian duo ji	总线舵机	1000
duo ji kong zhi	舵机控制	1200
duo ji qu dong	舵机驱动	1000
duo ji kong zhi qi	舵机控制器	1000
duo ji jiao du	舵机角度	800
duo ji xiao zhun	舵机校准	800
duo pan	舵盘	800
si fu	伺服	1500
si fu dian ji	伺服电机	1200
si fu qu dong qi	伺服驱动器	1000
si fu kong zhi	伺服控制	1000
bu jin dian ji	步进电机	1200
bu jin qu dong qi	步进驱动器	1000
zhi liu dian ji	直流电机	1200
wu shua dian ji	无刷电机	1200
jian su dian ji	减速电机	1000
dian ji kong zhi	电机控制	1200
dian ji qu dong	电机驱动	1200
dian ji qu dong qi	电机驱动器	1000
ji xie bi	机械臂	1500
yun tai	云台	1500
bian ma qi	编码器	1200
mai chong kuan du	脉冲宽度	1000
mai kuan tiao zhi	脉宽调制	1000
zhan kong bi	占空比	1200
bi huan kong zhi	闭环控制	1000
kai huan kong zhi	开环控制	1000
wei zhi fan kui	位置反馈	1000
jiao du kong zhi	角度控制	1000
zhuan su kong zhi	转速控制	1000
niu ju	扭矩	1200
# Common Chinese enterprise and brand names; not a popularity ranking.
teng xun	腾讯	2200
a li ba ba	阿里巴巴	2000
zi jie tiao dong	字节跳动	1800
bai du	百度	2000
wang yi	网易	2000
hua wei	华为	2200
xiao mi	小米	1800
jing dong	京东	1800
mei tuan	美团	1800
pin duo duo	拼多多	1800
kuai shou	快手	1500
lian xiang	联想	1500
zhong xing tong xun	中兴通讯	1200
da jiang	大疆	1500
rong yao	荣耀	1200
bi ya di	比亚迪	1800
ning de shi dai	宁德时代	1500
ji li qi che	吉利汽车	1200
chang cheng qi che	长城汽车	1200
chang an qi che	长安汽车	1200
qi rui qi che	奇瑞汽车	1200
wei lai	蔚来	1000
xiao peng qi che	小鹏汽车	1200
li xiang qi che	理想汽车	1200
sai li si	赛力斯	1000
mei di	美的	1200
ge li	格力	1200
hai er	海尔	1200
hai xin	海信	1200
shun feng	顺丰	1500
zhong tong kuai di	中通快递	1200
yuan tong su di	圆通速递	1000
yun da kuai di	韵达快递	1000
shen tong kuai di	申通快递	1000
ji tu su di	极兔速递	1000
zhong guo yi dong	中国移动	1500
zhong guo lian tong	中国联通	1500
zhong guo dian xin	中国电信	1500
gong shang yin hang	工商银行	1200
jian she yin hang	建设银行	1200
nong ye yin hang	农业银行	1200
zhong guo yin hang	中国银行	1200
zhao shang yin hang	招商银行	1200
zhong guo ping an	中国平安	1200
mi ha you	米哈游	1200
pao pao ma te	泡泡玛特	1000
mi xue bing cheng	蜜雪冰城	1000
rui xing ka fei	瑞幸咖啡	1200
xi cha	喜茶	1000
hai di lao	海底捞	1200
# Common Chinese app and service names; one written Chinese name per entry.
wei xin	微信	2200
qi ye wei xin	企业微信	1500
teng xun hui yi	腾讯会议	1500
teng xun wen dang	腾讯文档	1200
ding ding	钉钉	1500
fei shu	飞书	1500
zhi fu bao	支付宝	2000
tao bao	淘宝	2000
tian mao	天猫	1500
xian yu	闲鱼	1500
zhuan zhuan	转转	1000
he ma	盒马	1000
tao bao shan gou	淘宝闪购	1200
mei tuan wai mai	美团外卖	1500
da zhong dian ping	大众点评	1500
dou yin	抖音	2200
xiao hong shu	小红书	2000
wei bo	微博	1800
zhi hu	知乎	1500
dou ban	豆瓣	1500
bi li bi li	哔哩哔哩	1500
tie ba	贴吧	1200
bai du tie ba	百度贴吧	1200
jin ri tou tiao	今日头条	1500
xi gua shi pin	西瓜视频	1200
teng xun shi pin	腾讯视频	1500
ai qi yi	爱奇艺	1500
